,Boat Type,Manufacturer,Type,Year Built,Price (EUR),Length,Width,Material,Number of views last 7 days,Location
8820,Motor Yacht,Chaparral power boats,Used boat,2004,30000,7.8,2.59,GRP,162,Italy
8822,Bowrider,Cobalt power boats,"Used boat,Unleaded",2015,30000,7.13,2.59,,208,Spain
8824,Motor Yacht,,Used boat,1995,29995,10.8,2.8,,214,Spain
8829,Offshore Boat,Ilver power boats,"Used boat,Unleaded",1987,29990,7.8,2.65,GRP,134,Italy
8830,Trawler,Succes power boats,Diesel,1979,29990,10.5,3.4,Steel,117,Germany
8831,Sport Boat,Chaparral power boats,Unleaded,1995,29990,7.59,2.59,GRP,120,Germany
8833,Sport Boat,Marinello power boats,new boat from stock,2015,29900,6.45,2.45,GRP,152,Germany
8834,Sport Boat,Marinello power boats,new boat from stock,2020,29900,5.65,2.35,GRP,158,Germany
8835,Sport Boat,Eolo power boats,Used boat,2017,29900,7.3,2.55,GRP,101,Germany
8836,Cabin Boat,Sea Ray power boats,"Used boat,Diesel",2004,29900,7.32,2.55,,363,Germany
8837,Trawler,,"Used boat,Diesel",1980,29900,10.0,3.05,Steel,103,Germany
8838,Bowrider,Marinello power boats,"Display Model,Unleaded",2017,29900,6.45,2.5,GRP,141,Germany
8840,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1995,29900,8.5,2.95,,171,Italy
8841,Sport Boat,Sealine power boats,"Used boat,Diesel",1991,29900,9.98,3.25,GRP,246,Italy
8843,Flybridge,,"Used boat,Diesel",1992,29900,9.9,3.6,PVC,199,France
8845,Cabin Boat,Nicols power boats,"Used boat,Diesel",1993,29900,8.0,2.59,GRP,112,Germany
8846,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2008,29900,6.1,2.44,GRP,154,Spain
8847,Sport Boat,B̩n̩teau power boats,"Used boat,Unleaded",2011,29900,7.2,2.51,PVC,107,France
8848,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2011,29900,6.4,2.53,GRP,108,Croatia
8849,Cabin Boat,Polar Boats power boats,"Used boat,Unleaded",1993,29900,9.0,3.0,GRP,294,Germany
8850,Cabin Boat,Jeanneau power boats,"new boat on order,Unleaded",2020,29900,6.19,2.46,GRP,145,Germany
8852,Trawler,,Used boat,1980,29900,9.0,2.9,Steel,112,Netherlands
8853,Trawler,Hollandia power boats,Used boat,1978,29900,10.5,3.45,Steel,120,Netherlands
8854,Deck Boat,Eolo power boats,"new boat from stock,Unleaded",2020,29500,5.9,2.5,,132,Italy
8856,Sport Boat,Fiart Mare power boats,"Used boat,Diesel",2004,29500,7.0,2.0,GRP,134,Croatia
8857,Deck Boat,,Used boat,2004,29500,6.0,2.18,GRP,133,Netherlands
